geotype,strategy,scenario,metric,per_user_cost
Rural 4,Small Cells,Scenario 2 (100 Mbps),Macro RAN,0
Rural 4,Hybrid,Scenario 1 (30 Mbps),Macro Backhaul,19.05045988
Suburban 1,Hybrid,Scenario 3 (300 Mbps),Macro RAN,36.9021071
Suburban 1,Hybrid,Scenario 3 (300 Mbps),Macro Backhaul,0
Suburban 1,Small Cells,Scenario 3 (300 Mbps),Macro Backhaul,0
Suburban 1,Spectrum Integration,Scenario 3 (300 Mbps),Macro Backhaul,0
Suburban 1,Hybrid,Scenario 2 (100 Mbps),Small Cell Civil Works,57.55686735
Suburban 1,Hybrid,Scenario 3 (300 Mbps),Small Cell RAN,37.25849193
Suburban 1,Small Cells,Scenario 3 (300 Mbps),Small Cell RAN,37.8101627
Suburban 1,Spectrum Integration,Scenario 3 (300 Mbps),Small Cell RAN,0
Suburban 1,Hybrid,Scenario 2 (100 Mbps),Macro Civil Works,9.368659067
Suburban 1,Small Cells,Scenario 3 (300 Mbps),Macro RAN,0
Suburban 1,Spectrum Integration,Scenario 3 (300 Mbps),Macro RAN,36.9021071
Suburban 1,Hybrid,Scenario 2 (100 Mbps),Macro Backhaul,0
Suburban 1,Hybrid,Scenario 1 (30 Mbps),Small Cell RAN,4.823305104
Suburban 1,Small Cells,Scenario 1 (30 Mbps),Small Cell RAN,4.823305104
Suburban 1,Spectrum Integration,Scenario 1 (30 Mbps),Small Cell RAN,0
Suburban 1,Hybrid,Scenario 2 (100 Mbps),Small Cell RAN,11.06862834
Suburban 1,Hybrid,Scenario 1 (30 Mbps),Macro RAN,36.9021071
Suburban 1,Small Cells,Scenario 1 (30 Mbps),Macro RAN,0
Suburban 1,Spectrum Integration,Scenario 1 (30 Mbps),Macro RAN,36.9021071
Suburban 1,Hybrid,Scenario 2 (100 Mbps),Macro RAN,36.9021071
Suburban 1,Small Cells,Scenario 2 (100 Mbps),Macro RAN,0
Suburban 1,Spectrum Integration,Scenario 2 (100 Mbps),Macro RAN,36.9021071
Suburban 1,Hybrid,Scenario 1 (30 Mbps),Macro Backhaul,0
Suburban 1,Small Cells,Scenario 1 (30 Mbps),Macro Backhaul,0
Suburban 1,Spectrum Integration,Scenario 1 (30 Mbps),Macro Backhaul,0
Suburban 1,Hybrid,Scenario 3 (300 Mbps),Macro Civil Works,9.368659067
Suburban 1,Small Cells,Scenario 2 (100 Mbps),Macro Backhaul,0
Suburban 1,Spectrum Integration,Scenario 2 (100 Mbps),Macro Backhaul,0
Suburban 1,Hybrid,Scenario 1 (30 Mbps),Small Cell Civil Works,25.08118654
Suburban 1,Small Cells,Scenario 1 (30 Mbps),Small Cell Civil Works,25.08118654
Suburban 1,Spectrum Integration,Scenario 1 (30 Mbps),Small Cell Civil Works,0
Suburban 1,Spectrum Integration,Scenario 2 (100 Mbps),Small Cell RAN,0
Suburban 1,Small Cells,Scenario 2 (100 Mbps),Small Cell Civil Works,60.42555539
Suburban 1,Spectrum Integration,Scenario 2 (100 Mbps),Small Cell Civil Works,0
Suburban 1,Hybrid,Scenario 3 (300 Mbps),Small Cell Civil Works,193.744158
Suburban 1,Small Cells,Scenario 3 (300 Mbps),Small Cell Civil Works,196.6128461
Suburban 1,Spectrum Integration,Scenario 3 (300 Mbps),Small Cell Civil Works,0
Suburban 1,Spectrum Integration,Scenario 2 (100 Mbps),Macro Civil Works,9.368659067
Suburban 1,Small Cells,Scenario 1 (30 Mbps),Macro Civil Works,0
Suburban 1,Small Cells,Scenario 3 (300 Mbps),Macro Civil Works,0
Suburban 1,Spectrum Integration,Scenario 3 (300 Mbps),Macro Civil Works,9.368659067
Suburban 1,Hybrid,Scenario 1 (30 Mbps),Macro Civil Works,9.368659067
Suburban 1,Small Cells,Scenario 2 (100 Mbps),Small Cell RAN,11.62029911
Suburban 1,Small Cells,Scenario 2 (100 Mbps),Macro Civil Works,0
Suburban 1,Spectrum Integration,Scenario 1 (30 Mbps),Macro Civil Works,9.368659067
Suburban 2,Hybrid,Scenario 1 (30 Mbps),Macro RAN,42.00751645
Suburban 2,Hybrid,Scenario 3 (300 Mbps),Macro RAN,42.00751645
Suburban 2,Spectrum Integration,Scenario 2 (100 Mbps),Small Cell Civil Works,0
Suburban 2,Hybrid,Scenario 1 (30 Mbps),Small Cell RAN,8.980147813
Suburban 2,Small Cells,Scenario 2 (100 Mbps),Small Cell Civil Works,60.49591351
Suburban 2,Hybrid,Scenario 3 (300 Mbps),Macro Backhaul,0
Suburban 2,Small Cells,Scenario 3 (300 Mbps),Macro Backhaul,0
Suburban 2,Spectrum Integration,Scenario 3 (300 Mbps),Macro Backhaul,0
Suburban 2,Hybrid,Scenario 2 (100 Mbps),Small Cell Civil Works,57.37977516
Suburban 2,Hybrid,Scenario 3 (300 Mbps),Small Cell RAN,37.50380639
Suburban 2,Small Cells,Scenario 3 (300 Mbps),Small Cell RAN,38.10306376
Suburban 2,Spectrum Integration,Scenario 3 (300 Mbps),Small Cell RAN,0
Suburban 2,Hybrid,Scenario 2 (100 Mbps),Macro Civil Works,10.66481377
Suburban 2,Small Cells,Scenario 2 (100 Mbps),Macro Civil Works,0
Suburban 2,Spectrum Integration,Scenario 2 (100 Mbps),Macro Civil Works,10.66481377
Suburban 2,Hybrid,Scenario 3 (300 Mbps),Macro Civil Works,10.66481377
Suburban 2,Small Cells,Scenario 3 (300 Mbps),Macro Civil Works,0
