"","iso3","country","year","Price.Paid..USDm.","length","Band.Paired","bandwidth","price","dollar_per_mhz","dollar_per_mhz_per_single_year","Cluster","population","dollar_per_mhz_per_pop_per_single_year","metric"
"625","ROU","Romania",2015,"4.3",10,3500,50,4300000,86000,8600,"C6",19466145,0.000441792661053331,"Capacity Spectrum"
"634","SEN","Senegal",2016,"27.4",17,800,20,27400000,1370000,80588.2352941177,"C2",15854360,0.0050830330138913,"Coverage Spectrum"
"635","SEN","Senegal",2016,"27.4",17,1800,20,27400000,1370000,80588.2352941177,"C2",15854360,0.0050830330138913,"Capacity Spectrum"
"637","SRB","Serbia",2015,"7.95",10,1800,20,7950000,397500,39750,"C4",6982604,0.00569271864765638,"Capacity Spectrum"
"638","SRB","Serbia",2015,"7.95",10,1800,20,7950000,397500,39750,"C4",6982604,0.00569271864765638,"Capacity Spectrum"
"639","SRB","Serbia",2015,"7.95",10,1800,20,7950000,397500,39750,"C4",6982604,0.00569271864765638,"Capacity Spectrum"
"640","SRB","Serbia",2015,"37.3",10,800,20,37300000,1865000,186500,"C4",6982604,0.0267092334034695,"Coverage Spectrum"
"641","SRB","Serbia",2015,"37.25",10,800,20,37250000,1862500,186250,"C4",6982604,0.0266734301415346,"Coverage Spectrum"
"642","SRB","Serbia",2015,"37.25",10,800,20,37250000,1862500,186250,"C4",6982604,0.0266734301415346,"Coverage Spectrum"
"659","THA","Thailand",2018,"383.3",15,1800,10,383300000,38330000,2555333.33333333,"C4",69428524,0.0368052377627002,"Capacity Spectrum"
"660","THA","Thailand",2019,"556",15,700,20,5.56e+08,27800000,1853333.33333333,"C4",69428524,0.0266941197444055,"Coverage Spectrum"
"661","THA","Thailand",2019,"556",15,700,20,5.56e+08,27800000,1853333.33333333,"C4",69428524,0.0266941197444055,"Coverage Spectrum"
"663","THA","Thailand",2018,"1140",15,900,10,1.14e+09,1.14e+08,7600000,"C4",69428524,0.109465095354757,"Coverage Spectrum"
"664","THA","Thailand",2019,"556",15,700,20,5.56e+08,27800000,1853333.33333333,"C4",69428524,0.0266941197444055,"Coverage Spectrum"
"665","THA","Thailand",2020,"1080",15,700,20,1.08e+09,5.4e+07,3600000,"C4",69428524,0.0518518872733057,"Coverage Spectrum"
"666","THA","Thailand",2020,"540",15,700,10,5.4e+08,5.4e+07,3600000,"C4",69428524,0.0518518872733057,"Coverage Spectrum"
"668","THA","Thailand",2016,"2400",15,900,20,2.4e+09,1.2e+08,8e+06,"C4",69428524,0.115226416162902,"Coverage Spectrum"
"669","THA","Thailand",2015,"2397",15,900,20,2.397e+09,119850000,7990000,"C4",69428524,0.115082383142698,"Coverage Spectrum"
"670","THA","Thailand",2012,"476",15,2100,30,4.76e+08,15866666.6666667,1057777.77777778,"C4",69428524,0.0152354928037614,"Capacity Spectrum"
"671","THA","Thailand",2018,"383.3",15,1800,10,383300000,38330000,2555333.33333333,"C4",69428524,0.0368052377627002,"Capacity Spectrum"
"672","THA","Thailand",2012,"440",15,2100,30,4.4e+08,14666666.6666667,977777.777777778,"C4",69428524,0.0140832286421324,"Capacity Spectrum"
"673","THA","Thailand",2012,"440",15,2100,30,4.4e+08,14666666.6666667,977777.777777778,"C4",69428524,0.0140832286421324,"Capacity Spectrum"
"674","THA","Thailand",2015,"1108",18,1800,30,1.108e+09,36933333.3333333,2051851.85185185,"C4",69428524,0.0295534419232627,"Capacity Spectrum"
